Date,Station,Depth,water_temperature_past,turbidity_past,Chl_past,POC_past,PN_past,CtoN_past,NO3/NO2_past,DIN_past,TDN_past,DON_past,PO4_past,SiO2_past,NH4_past,DO_past,ACC_FLOW_60,ATMP,NW14,SW14,N14,DO_now
2000/2/1,100,2,3.32,4.360027473,13.25354251,1683.95,227.25,8.64,500.951691,545.697773,901.193604,355,18.53474,61.2289775,44.746082,12.52,236735.0678,8.454166667,545.6319153,96.75347156,538.8638788,10.57
2000/2/15,100,2,3.32,4.360027473,13.25354251,1683.95,227.25,8.64,500.951691,545.697773,901.193604,355,18.53474,61.2289775,44.746082,12.52,236735.0678,8.454166667,545.6319153,96.75347156,538.8638788,10.57
2000/2/29,100,2,6.2,4.360027473,13.25354251,3561.25,387,10.73,642.8806,721.87535,889.032471,167,17.097168,49.1387445,78.99475,10.57,423720,12.40416667,66.33541185,222.3997648,202.1248953,7.66
2000/3/14,100,2,12.55710843,4.360027473,13.25354251,3349.01747,450.7180723,8.500963855,143.7011547,212.9557562,526.2403575,313.5421687,2.142650602,50.86019542,69.25460151,6.779759036,452740,17.32083333,0,190.4664097,475.7886601,8.228554217
2000/3/28,100,2,14.76168675,4.360027473,13.25354251,2963.443976,411.9144578,8.092771084,114.9609238,172.308605,476.630909,304.4337349,4.450120482,52.58164633,57.3476812,5.831807229,386060,15.35833333,183.4007997,816.5847691,0,7.720843373
2000/4/11,100,2,16.96626506,4.360027473,13.25354251,2577.870482,373.1108434,7.684578313,86.22069282,131.6614537,427.0214605,295.3253012,6.757590361,54.30309725,45.4407609,4.883855422,304710,17.1625,151.381886,439.2913367,271.2748952,7.21313253
2000/4/25,100,2,19.17084337,4.360027473,13.25354251,2192.296988,334.3072289,7.276385542,57.48046188,91.01430248,377.412012,286.2168675,9.065060241,56.02454817,33.5338406,3.935903614,278540,20.975,0,660.2663731,231.3198539,6.705421687
2000/5/9,100,2,21.37542169,4.360027473,13.25354251,1806.723494,295.5036145,6.868192771,28.74023094,50.36715124,327.8025635,277.1084337,11.37253012,57.74599908,21.6269203,2.987951807,246410,22.60833333,0,1083.735916,0,6.197710843
2000/5/23,100,2,23.58,4.360027473,13.25354251,1421.15,256.7,6.46,0,9.72,278.193115,268,13.68,59.46745,9.72,2.04,180474,22.64583333,160.0058328,471.7632446,497.7484058,5.69
2000/6/6,100,2,23.58,4.360027473,13.25354251,1975.223333,357.5,6.441333333,0,67.52133333,298.8053178,231.6,28.84666667,68.98940813,67.52133333,5.446666667,150875,26.7375,0,1100.598364,161.124621,0.519333333
